channel,month,month_total,month_name,channel_name,channel_type,channel_color,month_tooltip
facebook_page_likes,1,129,January,Facebook,like,#316ff6,+129 Facebook likes in January
facebook_page_likes,2,121,February,Facebook,like,#316ff6,+121 Facebook likes in February
facebook_page_likes,3,62,March,Facebook,like,#316ff6,+62 Facebook likes in March
facebook_page_likes,4,59,April,Facebook,like,#316ff6,+59 Facebook likes in April
facebook_page_likes,5,76,May,Facebook,like,#316ff6,+76 Facebook likes in May
facebook_page_likes,6,6,June,Facebook,like,#316ff6,+6 Facebook likes in June
facebook_page_likes,7,13,July,Facebook,like,#316ff6,+13 Facebook likes in July
facebook_page_likes,8,62,August,Facebook,like,#316ff6,+62 Facebook likes in August
facebook_page_likes,9,26,September,Facebook,like,#316ff6,+26 Facebook likes in September
facebook_page_likes,10,71,October,Facebook,like,#316ff6,+71 Facebook likes in October
facebook_page_likes,11,40,November,Facebook,like,#316ff6,+40 Facebook likes in November
facebook_page_likes,12,15,December,Facebook,like,#316ff6,+15 Facebook likes in December
instagram_followers,1,36,January,Instagram,follower,#dd2a7b,+36 Instagram followers in January
instagram_followers,2,59,February,Instagram,follower,#dd2a7b,+59 Instagram followers in February
instagram_followers,3,38,March,Instagram,follower,#dd2a7b,+38 Instagram followers in March
instagram_followers,4,22,April,Instagram,follower,#dd2a7b,+22 Instagram followers in April
instagram_followers,5,32,May,Instagram,follower,#dd2a7b,+32 Instagram followers in May
instagram_followers,6,21,June,Instagram,follower,#dd2a7b,+21 Instagram followers in June
instagram_followers,7,22,July,Instagram,follower,#dd2a7b,+22 Instagram followers in July
instagram_followers,8,42,August,Instagram,follower,#dd2a7b,+42 Instagram followers in August
instagram_followers,9,24,September,Instagram,follower,#dd2a7b,+24 Instagram followers in September
instagram_followers,10,29,October,Instagram,follower,#dd2a7b,+29 Instagram followers in October
instagram_followers,11,18,November,Instagram,follower,#dd2a7b,+18 Instagram followers in November
instagram_followers,12,17,December,Instagram,follower,#dd2a7b,+17 Instagram followers in December
website_clicks,1,7,January,Website,click,#670078,+7 Website clicks in January
website_clicks,2,3,February,Website,click,#670078,+3 Website clicks in February
website_clicks,3,6,March,Website,click,#670078,+6 Website clicks in March
website_clicks,4,0,April,Website,click,#670078,+0 Website clicks in April
website_clicks,5,1,May,Website,click,#670078,+1 Website click in May
website_clicks,6,5,June,Website,click,#670078,+5 Website clicks in June
website_clicks,7,2,July,Website,click,#670078,+2 Website clicks in July
website_clicks,8,0,August,Website,click,#670078,+0 Website clicks in August
website_clicks,9,4,September,Website,click,#670078,+4 Website clicks in September
website_clicks,10,2,October,Website,click,#670078,+2 Website clicks in October
website_clicks,11,6,November,Website,click,#670078,+6 Website clicks in November
website_clicks,12,7,December,Website,click,#670078,+7 Website clicks in December
