date,channel,day_total,day_name,channel_name,channel_type,channel_color,day_tooltip
2023-01-01T00:00:00Z,facebook_page_likes,2,"Jan 01, 2023",Facebook,like,#316ff6,"+2 Facebook likes on Jan 01, 2023"
2023-01-01T00:00:00Z,instagram_followers,0,"Jan 01, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 01, 2023"
2023-01-01T00:00:00Z,website_clicks,0,"Jan 01, 2023",Website,click,#670078,"+0 Website clicks on Jan 01, 2023"
2023-01-02T00:00:00Z,facebook_page_likes,0,"Jan 02, 2023",Facebook,like,#316ff6,"+0 Facebook likes on Jan 02, 2023"
2023-01-02T00:00:00Z,instagram_followers,1,"Jan 02, 2023",Instagram,follower,#dd2a7b,"+1 Instagram follower on Jan 02, 2023"
2023-01-02T00:00:00Z,website_clicks,0,"Jan 02, 2023",Website,click,#670078,"+0 Website clicks on Jan 02, 2023"
2023-01-03T00:00:00Z,facebook_page_likes,0,"Jan 03, 2023",Facebook,like,#316ff6,"+0 Facebook likes on Jan 03, 2023"
2023-01-03T00:00:00Z,instagram_followers,0,"Jan 03, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 03, 2023"
2023-01-03T00:00:00Z,website_clicks,0,"Jan 03, 2023",Website,click,#670078,"+0 Website clicks on Jan 03, 2023"
2023-01-04T00:00:00Z,facebook_page_likes,0,"Jan 04, 2023",Facebook,like,#316ff6,"+0 Facebook likes on Jan 04, 2023"
2023-01-04T00:00:00Z,instagram_followers,0,"Jan 04, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 04, 2023"
2023-01-04T00:00:00Z,website_clicks,0,"Jan 04, 2023",Website,click,#670078,"+0 Website clicks on Jan 04, 2023"
2023-01-05T00:00:00Z,facebook_page_likes,6,"Jan 05, 2023",Facebook,like,#316ff6,"+6 Facebook likes on Jan 05, 2023"
2023-01-05T00:00:00Z,instagram_followers,0,"Jan 05, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 05, 2023"
2023-01-05T00:00:00Z,website_clicks,0,"Jan 05, 2023",Website,click,#670078,"+0 Website clicks on Jan 05, 2023"
2023-01-06T00:00:00Z,facebook_page_likes,0,"Jan 06, 2023",Facebook,like,#316ff6,"+0 Facebook likes on Jan 06, 2023"
2023-01-06T00:00:00Z,instagram_followers,1,"Jan 06, 2023",Instagram,follower,#dd2a7b,"+1 Instagram follower on Jan 06, 2023"
2023-01-06T00:00:00Z,website_clicks,0,"Jan 06, 2023",Website,click,#670078,"+0 Website clicks on Jan 06, 2023"
2023-01-07T00:00:00Z,facebook_page_likes,4,"Jan 07, 2023",Facebook,like,#316ff6,"+4 Facebook likes on Jan 07, 2023"
2023-01-07T00:00:00Z,instagram_followers,3,"Jan 07, 2023",Instagram,follower,#dd2a7b,"+3 Instagram followers on Jan 07, 2023"
2023-01-07T00:00:00Z,website_clicks,0,"Jan 07, 2023",Website,click,#670078,"+0 Website clicks on Jan 07, 2023"
2023-01-08T00:00:00Z,facebook_page_likes,8,"Jan 08, 2023",Facebook,like,#316ff6,"+8 Facebook likes on Jan 08, 2023"
2023-01-08T00:00:00Z,instagram_followers,4,"Jan 08, 2023",Instagram,follower,#dd2a7b,"+4 Instagram followers on Jan 08, 2023"
2023-01-08T00:00:00Z,website_clicks,0,"Jan 08, 2023",Website,click,#670078,"+0 Website clicks on Jan 08, 2023"
2023-01-09T00:00:00Z,facebook_page_likes,9,"Jan 09, 2023",Facebook,like,#316ff6,"+9 Facebook likes on Jan 09, 2023"
2023-01-09T00:00:00Z,instagram_followers,2,"Jan 09, 2023",Instagram,follower,#dd2a7b,"+2 Instagram followers on Jan 09, 2023"
2023-01-09T00:00:00Z,website_clicks,1,"Jan 09, 2023",Website,click,#670078,"+1 Website click on Jan 09, 2023"
2023-01-10T00:00:00Z,facebook_page_likes,3,"Jan 10, 2023",Facebook,like,#316ff6,"+3 Facebook likes on Jan 10, 2023"
2023-01-10T00:00:00Z,instagram_followers,4,"Jan 10, 2023",Instagram,follower,#dd2a7b,"+4 Instagram followers on Jan 10, 2023"
2023-01-10T00:00:00Z,website_clicks,0,"Jan 10, 2023",Website,click,#670078,"+0 Website clicks on Jan 10, 2023"
2023-01-11T00:00:00Z,facebook_page_likes,36,"Jan 11, 2023",Facebook,like,#316ff6,"+36 Facebook likes on Jan 11, 2023"
2023-01-11T00:00:00Z,instagram_followers,9,"Jan 11, 2023",Instagram,follower,#dd2a7b,"+9 Instagram followers on Jan 11, 2023"
2023-01-11T00:00:00Z,website_clicks,0,"Jan 11, 2023",Website,click,#670078,"+0 Website clicks on Jan 11, 2023"
2023-01-12T00:00:00Z,facebook_page_likes,16,"Jan 12, 2023",Facebook,like,#316ff6,"+16 Facebook likes on Jan 12, 2023"
2023-01-12T00:00:00Z,instagram_followers,1,"Jan 12, 2023",Instagram,follower,#dd2a7b,"+1 Instagram follower on Jan 12, 2023"
2023-01-12T00:00:00Z,website_clicks,1,"Jan 12, 2023",Website,click,#670078,"+1 Website click on Jan 12, 2023"
2023-01-13T00:00:00Z,facebook_page_likes,6,"Jan 13, 2023",Facebook,like,#316ff6,"+6 Facebook likes on Jan 13, 2023"
2023-01-13T00:00:00Z,instagram_followers,0,"Jan 13, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 13, 2023"
2023-01-13T00:00:00Z,website_clicks,0,"Jan 13, 2023",Website,click,#670078,"+0 Website clicks on Jan 13, 2023"
2023-01-14T00:00:00Z,facebook_page_likes,0,"Jan 14, 2023",Facebook,like,#316ff6,"+0 Facebook likes on Jan 14, 2023"
2023-01-14T00:00:00Z,instagram_followers,0,"Jan 14, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 14, 2023"
2023-01-14T00:00:00Z,website_clicks,0,"Jan 14, 2023",Website,click,#670078,"+0 Website clicks on Jan 14, 2023"
2023-01-15T00:00:00Z,facebook_page_likes,0,"Jan 15, 2023",Facebook,like,#316ff6,"+0 Facebook likes on Jan 15, 2023"
2023-01-15T00:00:00Z,instagram_followers,2,"Jan 15, 2023",Instagram,follower,#dd2a7b,"+2 Instagram followers on Jan 15, 2023"
2023-01-15T00:00:00Z,website_clicks,0,"Jan 15, 2023",Website,click,#670078,"+0 Website clicks on Jan 15, 2023"
2023-01-16T00:00:00Z,facebook_page_likes,3,"Jan 16, 2023",Facebook,like,#316ff6,"+3 Facebook likes on Jan 16, 2023"
2023-01-16T00:00:00Z,instagram_followers,0,"Jan 16, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 16, 2023"
2023-01-16T00:00:00Z,website_clicks,1,"Jan 16, 2023",Website,click,#670078,"+1 Website click on Jan 16, 2023"
2023-01-17T00:00:00Z,facebook_page_likes,1,"Jan 17, 2023",Facebook,like,#316ff6,"+1 Facebook like on Jan 17, 2023"
2023-01-17T00:00:00Z,instagram_followers,3,"Jan 17, 2023",Instagram,follower,#dd2a7b,"+3 Instagram followers on Jan 17, 2023"
2023-01-17T00:00:00Z,website_clicks,2,"Jan 17, 2023",Website,click,#670078,"+2 Website clicks on Jan 17, 2023"
2023-01-18T00:00:00Z,facebook_page_likes,3,"Jan 18, 2023",Facebook,like,#316ff6,"+3 Facebook likes on Jan 18, 2023"
2023-01-18T00:00:00Z,instagram_followers,2,"Jan 18, 2023",Instagram,follower,#dd2a7b,"+2 Instagram followers on Jan 18, 2023"
2023-01-18T00:00:00Z,website_clicks,1,"Jan 18, 2023",Website,click,#670078,"+1 Website click on Jan 18, 2023"
2023-01-19T00:00:00Z,facebook_page_likes,7,"Jan 19, 2023",Facebook,like,#316ff6,"+7 Facebook likes on Jan 19, 2023"
2023-01-19T00:00:00Z,instagram_followers,0,"Jan 19, 2023",Instagram,follower,#dd2a7b,"+0 Instagram followers on Jan 19, 2023"
