date,facebook_page_likes,instagram_followers,website_clicks,impressions,ctr,position
2023-01-01T00:00:00Z,2,0,0,9,0%,36.11
2023-01-02T00:00:00Z,0,1,0,13,0%,30.31
2023-01-03T00:00:00Z,0,0,0,6,0%,43.33
2023-01-04T00:00:00Z,0,0,0,9,0%,47.44
2023-01-05T00:00:00Z,6,0,0,9,0%,42.78
2023-01-06T00:00:00Z,0,1,0,12,0%,30.83
2023-01-07T00:00:00Z,4,3,0,5,0%,43
2023-01-08T00:00:00Z,8,4,0,9,0%,32
2023-01-09T00:00:00Z,9,2,1,12,8.33%,28.25
2023-01-10T00:00:00Z,3,4,0,8,0%,33.12
2023-01-11T00:00:00Z,36,9,0,11,0%,25.73
2023-01-12T00:00:00Z,16,1,1,16,6.25%,20.94
2023-01-13T00:00:00Z,6,0,0,9,0%,33.78
2023-01-14T00:00:00Z,0,0,0,10,0%,36.6
2023-01-15T00:00:00Z,0,2,0,12,0%,47.33
2023-01-16T00:00:00Z,3,0,1,11,9.09%,30
2023-01-17T00:00:00Z,1,3,2,20,10%,20.55
2023-01-18T00:00:00Z,3,2,1,12,8.33%,39.42
2023-01-19T00:00:00Z,7,0,1,15,6.67%,23.4
2023-01-20T00:00:00Z,18,0,0,20,0%,49.45
2023-01-21T00:00:00Z,2,4,0,13,0%,41.38
2023-01-22T00:00:00Z,0,0,0,13,0%,37.92
2023-01-23T00:00:00Z,0,0,0,16,0%,21.12
2023-01-24T00:00:00Z,3,0,0,19,0%,25.74
2023-01-25T00:00:00Z,0,0,0,11,0%,27.45
2023-01-26T00:00:00Z,0,0,0,14,0%,35.93
2023-01-27T00:00:00Z,0,0,0,11,0%,39.55
2023-01-28T00:00:00Z,2,0,0,9,0%,28.44
2023-01-29T00:00:00Z,0,0,0,12,0%,32.58
2023-01-30T00:00:00Z,0,0,0,16,0%,31.25
2023-01-31T00:00:00Z,0,0,0,15,0%,37.4
2023-02-01T00:00:00Z,0,1,0,11,0%,41.36
2023-02-02T00:00:00Z,0,0,0,13,0%,41.92
2023-02-03T00:00:00Z,7,4,0,13,0%,38.85
2023-02-04T00:00:00Z,18,6,0,11,0%,41.64
2023-02-05T00:00:00Z,21,3,0,15,0%,28.73
2023-02-06T00:00:00Z,6,2,0,16,0%,30.25
2023-02-07T00:00:00Z,0,1,0,13,0%,50.23
2023-02-08T00:00:00Z,21,6,0,24,0%,21.25
2023-02-09T00:00:00Z,1,0,0,14,0%,23.43
2023-02-10T00:00:00Z,4,1,0,20,0%,33.05
2023-02-11T00:00:00Z,0,0,0,15,0%,37.13
2023-02-12T00:00:00Z,3,1,0,16,0%,31.25
2023-02-13T00:00:00Z,1,1,0,10,0%,31.2
2023-02-14T00:00:00Z,0,1,0,17,0%,28.59
2023-02-15T00:00:00Z,1,4,0,17,0%,25.06
2023-02-16T00:00:00Z,9,1,0,20,0%,26.15
2023-02-17T00:00:00Z,0,2,0,11,0%,33.91
2023-02-18T00:00:00Z,0,0,1,13,7.69%,36.54
2023-02-19T00:00:00Z,2,0,0,11,0%,34.91
2023-02-20T00:00:00Z,9,3,0,15,0%,25.73
2023-02-21T00:00:00Z,7,2,2,300,0.67%,30.09
2023-02-22T00:00:00Z,0,0,0,14,0%,29.14
2023-02-23T00:00:00Z,0,2,0,16,0%,30.81
2023-02-24T00:00:00Z,4,6,0,21,0%,16.86
2023-02-25T00:00:00Z,0,2,0,22,0%,23
2023-02-26T00:00:00Z,6,1,0,14,0%,21.86
2023-02-27T00:00:00Z,0,4,0,12,0%,35.83
2023-02-28T00:00:00Z,1,5,0,18,0%,21.67
2023-03-01T00:00:00Z,1,2,0,16,0%,33.06
2023-03-02T00:00:00Z,1,2,0,14,0%,28.43
2023-03-03T00:00:00Z,6,3,0,14,0%,23.64
2023-03-04T00:00:00Z,3,0,0,12,0%,24.25
2023-03-05T00:00:00Z,0,1,0,9,0%,38.78
2023-03-06T00:00:00Z,0,3,0,16,0%,28.69
2023-03-07T00:00:00Z,0,1,0,19,0%,35.63
2023-03-08T00:00:00Z,0,1,0,12,0%,26.42
2023-03-09T00:00:00Z,0,2,0,10,0%,30.3
2023-03-10T00:00:00Z,0,0,0,9,0%,32.56
2023-03-11T00:00:00Z,0,0,0,13,0%,30
2023-03-12T00:00:00Z,8,0,1,15,6.67%,30.47
2023-03-13T00:00:00Z,0,1,0,10,0%,41.8
2023-03-14T00:00:00Z,0,1,2,19,10.53%,22.42
2023-03-15T00:00:00Z,0,0,0,9,0%,26.89
2023-03-16T00:00:00Z,0,0,0,8,0%,31
2023-03-17T00:00:00Z,0,0,0,6,0%,29
2023-03-18T00:00:00Z,0,0,0,10,0%,27.7
2023-03-19T00:00:00Z,0,3,0,14,0%,22.07
2023-03-20T00:00:00Z,7,0,0,19,0%,24.68
2023-03-21T00:00:00Z,3,0,1,11,9.09%,22.64
2023-03-22T00:00:00Z,0,0,0,14,0%,30
2023-03-23T00:00:00Z,9,0,0,12,0%,28.42
2023-03-24T00:00:00Z,5,2,1,15,6.67%,19
2023-03-25T00:00:00Z,7,0,0,11,0%,31.55
2023-03-26T00:00:00Z,0,1,0,10,0%,33.9
2023-03-27T00:00:00Z,4,5,0,14,0%,34.5
2023-03-28T00:00:00Z,0,2,0,13,0%,20.69
2023-03-29T00:00:00Z,3,5,0,8,0%,36.62
2023-03-30T00:00:00Z,5,1,1,9,11.11%,15.22
2023-03-31T00:00:00Z,0,2,0,15,0%,28.87
2023-04-01T00:00:00Z,0,1,0,9,0%,38.11
2023-04-02T00:00:00Z,1,0,0,6,0%,36.33
2023-04-03T00:00:00Z,3,1,0,6,0%,32.33
2023-04-04T00:00:00Z,2,4,0,8,0%,33.12
2023-04-05T00:00:00Z,0,1,0,9,0%,27.78
2023-04-06T00:00:00Z,0,0,0,8,0%,34
2023-04-07T00:00:00Z,4,0,0,10,0%,31
2023-04-08T00:00:00Z,3,0,0,10,0%,30.9
2023-04-09T00:00:00Z,3,0,0,8,0%,31.38
2023-04-10T00:00:00Z,3,0,0,7,0%,30.71
2023-04-11T00:00:00Z,0,1,0,10,0%,25.7
2023-04-12T00:00:00Z,3,1,0,6,0%,31.33
2023-04-13T00:00:00Z,0,0,0,9,0%,29.33
2023-04-14T00:00:00Z,4,0,0,9,0%,28.78
2023-04-15T00:00:00Z,7,0,0,12,0%,31.25
2023-04-16T00:00:00Z,0,2,0,7,0%,32
2023-04-17T00:00:00Z,5,2,0,9,0%,29.56
2023-04-18T00:00:00Z,0,0,0,8,0%,45.62
2023-04-19T00:00:00Z,0,1,0,11,0%,27.55
2023-04-20T00:00:00Z,0,1,0,18,0%,18.11
2023-04-21T00:00:00Z,0,1,0,15,0%,23.47
2023-04-22T00:00:00Z,0,0,0,10,0%,30
2023-04-23T00:00:00Z,0,0,0,6,0%,29.83
2023-04-24T00:00:00Z,3,0,0,14,0%,28.29
2023-04-25T00:00:00Z,0,0,0,9,0%,35.44
2023-04-26T00:00:00Z,0,4,0,16,0%,30.25
2023-04-27T00:00:00Z,3,0,0,8,0%,27.62
2023-04-28T00:00:00Z,12,1,0,13,0%,33
2023-04-29T00:00:00Z,2,1,0,8,0%,24.75
2023-04-30T00:00:00Z,1,0,0,8,0%,24.88
2023-05-01T00:00:00Z,1,2,0,11,0%,25.36
2023-05-02T00:00:00Z,0,1,1,8,12.5%,25.88
2023-05-03T00:00:00Z,13,1,0,6,0%,27.33
2023-05-04T00:00:00Z,7,3,0,10,0%,16.3
2023-05-05T00:00:00Z,6,0,0,11,0%,23.36
2023-05-06T00:00:00Z,4,1,0,9,0%,24.44
2023-05-07T00:00:00Z,0,0,0,4,0%,34.5
2023-05-08T00:00:00Z,5,1,0,4,0%,24.75
2023-05-09T00:00:00Z,15,4,0,12,0%,34.83
2023-05-10T00:00:00Z,14,0,0,9,0%,22.56
2023-05-11T00:00:00Z,0,1,0,9,0%,26.11
2023-05-12T00:00:00Z,3,2,0,8,0%,25.75
2023-05-13T00:00:00Z,0,1,0,12,0%,29.67
2023-05-14T00:00:00Z,0,0,0,10,0%,21.2
2023-05-15T00:00:00Z,0,0,0,18,0%,35.83
2023-05-16T00:00:00Z,4,0,0,13,0%,33.62
2023-05-17T00:00:00Z,0,0,0,12,0%,22.17
2023-05-18T00:00:00Z,0,0,0,7,0%,25.14
